sequence,feasible,objective,total_energy,total_dist,failure_reason,arrival_times
0-48-44,False,0,0,48864.46680791922,Time_Window_Violation,
0-48-45,False,0,0,47684.4873543791,Time_Window_Violation,
0-48-46,False,0,0,46743.494986101396,Time_Window_Violation,
0-48-47,True,49.49202031131205,47585634.88219399,46736.72876383565,None,"{0: 3043.7919638742837, 48: 1563.9478434621012, 47: 2608.2294727531907}"
0-48-49,True,62.838135197410494,47594709.349926785,47533.180291679746,None,"{0: 3049.6179898550467, 48: 1563.9478456460572, 49: 2637.924682825451}"
0-48-50,True,49.49202025636315,47506645.29750939,48955.74320611015,None,"{0: 2898.718531927249, 48: 1563.9478438956428, 50: 2016.7998447923594}"
0-49-1,False,0,0,75012.33679110912,Time_Window_Violation,
0-49-2,False,0,0,78735.05375707429,Time_Window_Violation,
0-49-3,False,0,0,69348.59091228554,Time_Window_Violation,
0-49-4,False,0,0,73167.03964644321,Time_Window_Violation,
0-49-5,False,0,0,67448.00937721379,Time_Window_Violation,
0-49-6,False,0,0,74264.88546693843,Time_Window_Violation,
0-49-7,False,0,0,68450.91298948787,Time_Window_Violation,
0-49-8,False,0,0,71802.02228770671,Time_Window_Violation,
0-49-9,False,0,0,75709.6734009429,Time_Window_Violation,
0-49-10,False,0,0,67752.92449068016,Time_Window_Violation,
0-49-11,False,0,0,73569.36533210661,Time_Window_Violation,
0-49-12,False,0,0,107378.15738709085,Time_Window_Violation,
0-49-13,False,0,0,90462.71314611065,Time_Window_Violation,
0-49-14,False,0,0,108925.4232686641,Time_Window_Violation,
0-49-15,False,0,0,100970.4649950442,Time_Window_Violation,
0-49-16,False,0,0,110156.61705847995,Time_Window_Violation,
0-49-17,False,0,0,93742.08057916857,Time_Window_Violation,
0-49-18,False,0,0,96624.19346125211,Time_Window_Violation,
0-49-19,False,0,0,105100.77480635329,Time_Window_Violation,
0-49-20,False,0,0,44342.1186627201,Time_Window_Violation,
0-49-21,False,0,0,46524.65450810781,Time_Window_Violation,
0-49-22,False,0,0,48374.89777289498,Time_Window_Violation,
0-49-23,False,0,0,52209.372712298544,Time_Window_Violation,
0-49-24,False,0,0,49506.431253076895,Time_Window_Violation,
